L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
C,301,X,25,R,7,S,7,C,3,K,64,Y,36,Y,12,K,1,C,1,Y,1,X,1,R,7,S,7,"L1:[sp=C,301] X=25,R=7,S=7,C=3,K=64,Y=36 || L2:[sp=Y,12] K=1,C=1,Y=1,X=1,R=7,S=7",-38968000.0,-14667.8,1,C|Y,1
Y,254,K,4,X,224,Y,22,S,7,C,3,R,7,K,1,Y,1,C,1,X,1,K,1,R,7,S,7,"L1:[sp=Y,254] K=4,X=224,Y=22,S=7,C=3,R=7 || L2:[sp=K,1] Y=1,C=1,X=1,K=1,R=7,S=7",-inf,-inf,0,Y|K,1
X,230,R,7,K,48,Y,76,S,7,X,113,C,1,K,27,Y,1,C,1,X,1,S,7,R,7,K,1,"L1:[sp=X,230] R=7,K=48,Y=76,S=7,X=113,C=1 || L2:[sp=K,27] Y=1,C=1,X=1,S=7,R=7,K=1",-10863613.0,-41245.5,1,X|K,1
C,191,Y,163,X,210,K,53,S,7,R,7,C,1,Y,91,R,7,K,1,C,1,S,7,Y,1,X,1,"L1:[sp=C,191] Y=163,X=210,K=53,S=7,R=7,C=1 || L2:[sp=Y,91] R=7,K=1,C=1,S=7,Y=1,X=1",-2050953.0,-15214.4,1,C|Y,1
Y,332,R,7,K,44,C,3,Y,196,S,7,X,219,K,33,S,7,X,1,C,1,K,1,Y,1,R,7,"L1:[sp=Y,332] R=7,K=44,C=3,Y=196,S=7,X=219 || L2:[sp=K,33] S=7,X=1,C=1,K=1,Y=1,R=7",-86439.0,-694.992,1,Y|K,1
C,847,X,17,C,3,K,17,Y,122,R,7,S,7,Y,50,Y,1,R,7,C,1,X,16,S,7,K,1,"L1:[sp=C,847] X=17,C=3,K=17,Y=122,R=7,S=7 || L2:[sp=Y,50] Y=1,R=7,C=1,X=16,S=7,K=1",-9643305.0,-16496.2,1,C|Y,1
Y,434,C,1,S,7,X,135,K,53,Y,190,R,7,Y,119,S,7,C,1,K,1,Y,1,R,7,X,1,"L1:[sp=Y,434] C=1,S=7,X=135,K=53,Y=190,R=7 || L2:[sp=Y,119] S=7,C=1,K=1,Y=1,R=7,X=1",-4101901.0,-40638.2,1,Y|Y,1
C,847,X,135,C,2,K,17,Y,122,R,7,S,7,Y,50,Y,1,R,7,S,7,C,1,X,1,K,1,"L1:[sp=C,847] X=135,C=2,K=17,Y=122,R=7,S=7 || L2:[sp=Y,50] Y=1,R=7,S=7,C=1,X=1,K=1",-6836497.0,-16008.8,1,C|Y,1
Y,434,C,1,S,7,X,17,K,53,Y,190,R,7,C,1,S,7,C,1,K,1,Y,164,R,7,X,1,"L1:[sp=Y,434] C=1,S=7,X=17,K=53,Y=190,R=7 || L2:[sp=C,1] S=7,C=1,K=1,Y=164,R=7,X=1",-389679439.0,-40861.0,1,Y|C,1
C,191,Y,163,X,210,K,57,S,7,R,7,C,1,Y,91,R,7,K,1,C,1,S,7,Y,1,X,1,"L1:[sp=C,191] Y=163,X=210,K=57,S=7,R=7,C=1 || L2:[sp=Y,91] R=7,K=1,C=1,S=7,Y=1,X=1",-2050953.0,-15223.6,1,C|Y,1
Y,434,S,7,C,1,X,17,K,28,Y,190,R,7,Y,119,S,7,C,1,K,7,Y,1,R,7,X,1,"L1:[sp=Y,434] S=7,C=1,X=17,K=28,Y=190,R=7 || L2:[sp=Y,119] S=7,C=1,K=7,Y=1,R=7,X=1",-4486558.0,-40869.8,1,Y|Y,1
C,802,Y,55,R,7,C,3,S,7,X,207,K,47,K,24,K,1,X,1,Y,1,C,1,S,7,R,7,"L1:[sp=C,802] Y=55,R=7,C=3,S=7,X=207,K=47 || L2:[sp=K,24] K=1,X=1,Y=1,C=1,S=7,R=7",-20958101.0,-15285.3,1,C|K,1
C,332,R,7,K,44,C,1,Y,50,S,7,X,125,K,33,S,7,X,1,C,1,K,1,Y,1,R,7,"L1:[sp=C,332] R=7,K=44,C=1,Y=50,S=7,X=125 || L2:[sp=K,33] S=7,X=1,C=1,K=1,Y=1,R=7",-6986049.0,-15496.1,1,C|K,1
C,847,X,135,C,2,K,17,Y,122,R,7,S,7,C,2,Y,1,R,7,S,7,X,1,C,1,K,1,"L1:[sp=C,847] X=135,C=2,K=17,Y=122,R=7,S=7 || L2:[sp=C,2] Y=1,R=7,S=7,X=1,C=1,K=1",-149035281.0,-16008.8,1,C|C,1
C,802,Y,55,R,7,C,1,S,7,X,167,K,47,K,24,K,1,X,1,Y,1,C,1,S,7,R,7,"L1:[sp=C,802] Y=55,R=7,C=1,S=7,X=167,K=47 || L2:[sp=K,24] K=1,X=1,Y=1,C=1,S=7,R=7",-6986045.0,-14899.2,1,C|K,1
Y,434,C,1,S,7,X,17,K,53,Y,55,R,7,Y,119,S,7,Y,1,K,1,C,1,R,7,X,1,"L1:[sp=Y,434] C=1,S=7,X=17,K=53,Y=55,R=7 || L2:[sp=Y,119] S=7,Y=1,K=1,C=1,R=7,X=1",-2051023.0,-40862.2,1,Y|Y,1
