L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
K,119,S,7,Y,222,C,1,R,6,X,199,K,1,X,56,C,1,Y,1,S,6,K,1,R,1,X,50,"L1:[sp=K,119] S=7,Y=222,C=1,R=6,X=199,K=1 || L2:[sp=X,56] C=1,Y=1,S=6,K=1,R=1,X=50",-647065.0,-163323000.0,1,K|X,1
K,119,K,1,X,217,S,3,R,6,Y,222,C,1,X,56,Y,1,S,2,X,50,K,1,R,1,C,1,"L1:[sp=K,119] K=1,X=217,S=3,R=6,Y=222,C=1 || L2:[sp=X,56] Y=1,S=2,X=50,K=1,R=1,C=1",-647593.0,-163323000.0,1,K|X,1
K,119,K,1,Y,222,X,217,R,6,C,1,S,1,X,56,Y,1,C,1,X,50,K,1,R,1,S,1,"L1:[sp=K,119] K=1,Y=222,X=217,R=6,C=1,S=1 || L2:[sp=X,56] Y=1,C=1,X=50,K=1,R=1,S=1",-648649.0,-163323000.0,1,K|X,1
K,119,K,1,X,199,S,1,R,6,Y,222,C,1,X,56,Y,1,S,1,X,50,K,1,R,1,C,1,"L1:[sp=K,119] K=1,X=199,S=1,R=6,Y=222,C=1 || L2:[sp=X,56] Y=1,S=1,X=50,K=1,R=1,C=1",-648649.0,-163323000.0,1,K|X,1
K,119,S,1,Y,222,C,1,R,6,X,199,K,1,X,56,C,1,Y,1,S,1,K,1,R,1,X,50,"L1:[sp=K,119] S=1,Y=222,C=1,R=6,X=199,K=1 || L2:[sp=X,56] C=1,Y=1,S=1,K=1,R=1,X=50",-648649.0,-163323000.0,1,K|X,1
K,119,S,1,Y,222,C,1,X,199,R,6,K,1,X,56,C,1,K,1,S,1,Y,1,R,1,X,50,"L1:[sp=K,119] S=1,Y=222,C=1,X=199,R=6,K=1 || L2:[sp=X,56] C=1,K=1,S=1,Y=1,R=1,X=50",-648649.0,-163323000.0,1,K|X,1
C,119,S,1,Y,222,C,1,R,6,X,136,K,1,X,56,C,1,Y,1,S,1,K,1,R,1,X,54,"L1:[sp=C,119] S=1,Y=222,C=1,R=6,X=136,K=1 || L2:[sp=X,56] C=1,Y=1,S=1,K=1,R=1,X=54",-679169.0,-163323000.0,1,C|X,1
K,119,K,1,Y,222,C,1,R,6,X,23,S,7,X,56,C,1,Y,1,X,12,K,1,R,1,S,1,"L1:[sp=K,119] K=1,Y=222,C=1,R=6,X=23,S=7 || L2:[sp=X,56] C=1,Y=1,X=12,K=1,R=1,S=1",-777481.0,-163323000.0,1,K|X,1
K,119,K,1,X,143,S,1,R,6,Y,222,C,2,X,56,Y,1,R,1,X,50,K,1,S,1,C,2,"L1:[sp=K,119] K=1,X=143,S=1,R=6,Y=222,C=2 || L2:[sp=X,56] Y=1,R=1,X=50,K=1,S=1,C=2",-863633.0,-163323000.0,1,K|X,1
X,119,K,1,R,6,C,1,S,7,Y,222,X,217,X,56,C,1,R,4,K,1,Y,1,X,27,S,1,"L1:[sp=X,119] K=1,R=6,C=1,S=7,Y=222,X=217 || L2:[sp=X,56] C=1,R=4,K=1,Y=1,X=27,S=1",-871297.0,-163323000.0,1,X|X,1
