L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
K,95,S,4,X,154,R,5,K,47,Y,11,C,1,C,1,R,1,K,1,Y,1,X,1,S,1,C,1,"L1:[sp=K,95] S=4,X=154,R=5,K=47,Y=11,C=1 || L2:[sp=C,1] R=1,K=1,Y=1,X=1,S=1,C=1",-inf,-inf,0,K|C,1
Y,165,C,2,K,31,Y,47,X,107,S,2,R,1,Y,19,R,1,K,1,Y,1,X,1,C,1,S,1,"L1:[sp=Y,165] C=2,K=31,Y=47,X=107,S=2,R=1 || L2:[sp=Y,19] R=1,K=1,Y=1,X=1,C=1,S=1",-inf,-inf,0,Y|Y,1
C,45,K,1,S,1,X,60,R,7,C,3,Y,8,K,1,S,1,R,1,Y,1,K,1,C,1,X,1,"L1:[sp=C,45] K=1,S=1,X=60,R=7,C=3,Y=8 || L2:[sp=K,1] S=1,R=1,Y=1,K=1,C=1,X=1",-813503489.0,-163323000.0,1,C|K,1
Y,164,C,3,R,7,K,41,S,3,Y,176,X,140,Y,52,Y,1,R,1,S,1,X,1,C,1,K,1,"L1:[sp=Y,164] C=3,R=7,K=41,S=3,Y=176,X=140 || L2:[sp=Y,52] Y=1,R=1,S=1,X=1,C=1,K=1",-inf,-inf,0,Y|Y,1
X,56,X,1,Y,1,C,1,K,1,R,1,S,1,C,1,X,1,S,1,C,1,Y,1,K,1,R,1,"L1:[sp=X,56] X=1,Y=1,C=1,K=1,R=1,S=1 || L2:[sp=C,1] X=1,S=1,C=1,Y=1,K=1,R=1",-8429569.0,-163323000.0,1,X|C,1
Y,52,X,1,R,1,Y,1,K,1,C,1,S,1,K,28,X,1,S,1,Y,1,R,1,C,1,K,1,"L1:[sp=Y,52] X=1,R=1,Y=1,K=1,C=1,S=1 || L2:[sp=K,28] X=1,S=1,Y=1,R=1,C=1,K=1",-160161793.0,-163323000.0,1,Y|K,1
X,56,X,1,Y,1,C,1,K,1,R,1,S,1,C,1,X,1,C,1,S,1,Y,1,K,1,R,1,"L1:[sp=X,56] X=1,Y=1,C=1,K=1,R=1,S=1 || L2:[sp=C,1] X=1,C=1,S=1,Y=1,K=1,R=1",-8429569.0,-163323000.0,1,X|C,1
C,45,K,1,S,1,X,1,R,1,C,3,Y,8,C,3,S,1,R,1,Y,1,K,1,C,1,X,1,"L1:[sp=C,45] K=1,S=1,X=1,R=1,C=3,Y=8 || L2:[sp=C,3] S=1,R=1,Y=1,K=1,C=1,X=1",-177020929.0,-163323000.0,1,C|C,1
C,52,X,60,R,7,S,1,Y,1,C,1,K,1,K,28,X,60,S,1,Y,1,R,3,C,1,K,1,"L1:[sp=C,52] X=60,R=7,S=1,Y=1,C=1,K=1 || L2:[sp=K,28] X=60,S=1,Y=1,R=3,C=1,K=1",-inf,-inf,0,C|K,1
C,45,K,1,S,1,X,60,R,7,C,3,Y,174,K,1,S,1,R,1,Y,1,K,1,C,1,X,1,"L1:[sp=C,45] K=1,S=1,X=60,R=7,C=3,Y=174 || L2:[sp=K,1] S=1,R=1,Y=1,K=1,C=1,X=1",-484703745.0,-163324000.0,1,C|K,1
X,56,X,1,Y,1,C,1,K,1,R,1,S,1,C,1,X,1,S,1,C,1,Y,1,K,1,R,1,"L1:[sp=X,56] X=1,Y=1,C=1,K=1,R=1,S=1 || L2:[sp=C,1] X=1,S=1,C=1,Y=1,K=1,R=1",-8429569.0,-163323000.0,1,X|C,1
X,56,X,1,Y,1,C,1,K,1,R,1,S,1,C,1,X,1,S,1,C,1,R,1,K,1,Y,1,"L1:[sp=X,56] X=1,Y=1,C=1,K=1,R=1,S=1 || L2:[sp=C,1] X=1,S=1,C=1,R=1,K=1,Y=1",-8429569.0,-163323000.0,1,X|C,1
C,52,X,1,R,1,K,1,Y,1,C,1,S,1,K,28,X,1,S,1,Y,1,R,1,C,1,K,1,"L1:[sp=C,52] X=1,R=1,K=1,Y=1,C=1,S=1 || L2:[sp=K,28] X=1,S=1,Y=1,R=1,C=1,K=1",-314703873.0,-163323000.0,1,C|K,1
C,52,Y,1,R,1,K,1,X,1,C,1,S,1,K,28,X,1,S,1,Y,1,R,1,C,1,K,1,"L1:[sp=C,52] Y=1,R=1,K=1,X=1,C=1,S=1 || L2:[sp=K,28] X=1,S=1,Y=1,R=1,C=1,K=1",-314703873.0,-163323000.0,1,C|K,1
X,15,K,7,Y,34,S,1,X,20,C,3,R,4,K,7,K,1,C,1,X,1,S,1,Y,1,R,1,"L1:[sp=X,15] K=7,Y=34,S=1,X=20,C=3,R=4 || L2:[sp=K,7] K=1,C=1,X=1,S=1,Y=1,R=1",-inf,-inf,0,X|K,1
C,52,X,1,R,1,K,1,Y,1,C,1,S,2,K,28,X,1,S,1,Y,1,R,1,C,1,K,1,"L1:[sp=C,52] X=1,R=1,K=1,Y=1,C=1,S=2 || L2:[sp=K,28] X=1,S=1,Y=1,R=1,C=1,K=1",-402812929.0,-163323000.0,1,C|K,1
X,56,X,1,Y,1,C,1,K,1,R,1,S,1,C,1,X,1,S,1,C,1,Y,1,K,1,R,1,"L1:[sp=X,56] X=1,Y=1,C=1,K=1,R=1,S=1 || L2:[sp=C,1] X=1,S=1,C=1,Y=1,K=1,R=1",-8429569.0,-163323000.0,1,X|C,1
X,45,K,1,S,1,X,1,R,1,C,3,Y,1,C,1,S,1,R,1,Y,1,K,1,C,1,X,1,"L1:[sp=X,45] K=1,S=1,X=1,R=1,C=3,Y=1 || L2:[sp=C,1] S=1,R=1,Y=1,K=1,C=1,X=1",-5619713.0,-163323000.0,1,X|C,1
X,56,X,60,Y,8,C,1,K,1,R,7,S,1,C,1,X,1,S,1,C,1,Y,1,K,1,R,1,"L1:[sp=X,56] X=60,Y=8,C=1,K=1,R=7,S=1 || L2:[sp=C,1] X=1,S=1,C=1,Y=1,K=1,R=1",-217926913.0,-163323000.0,1,X|C,1
C,45,R,1,S,1,X,1,C,3,K,55,Y,1,Y,1,S,1,R,1,Y,1,K,1,C,1,X,1,"L1:[sp=C,45] R=1,S=1,X=1,C=3,K=55,Y=1 || L2:[sp=Y,1] S=1,R=1,Y=1,K=1,C=1,X=1",-476973057.0,-163323000.0,1,C|Y,1
C,56,X,60,Y,8,C,1,K,1,R,7,S,1,C,1,X,1,S,1,C,1,Y,1,K,1,R,1,"L1:[sp=C,56] X=60,Y=8,C=1,K=1,R=7,S=1 || L2:[sp=C,1] X=1,S=1,C=1,Y=1,K=1,R=1",-271201281.0,-163323000.0,1,C|C,1
K,52,X,1,R,1,K,1,Y,1,C,1,S,1,C,28,X,1,S,1,Y,1,R,1,C,1,K,1,"L1:[sp=K,52] X=1,R=1,K=1,Y=1,C=1,S=1 || L2:[sp=C,28] X=1,S=1,Y=1,R=1,C=1,K=1",-162269185.0,-163323000.0,1,K|C,1
K,15,K,7,S,1,Y,34,X,20,C,3,R,3,K,7,K,3,X,1,C,1,S,1,Y,1,R,1,"L1:[sp=K,15] K=7,S=1,Y=34,X=20,C=3,R=3 || L2:[sp=K,7] K=3,X=1,C=1,S=1,Y=1,R=1",-23314789.0,-163324000.0,1,K|K,1
C,45,X,60,S,1,R,1,K,1,C,3,Y,8,K,1,S,1,R,1,Y,1,K,1,C,1,X,1,"L1:[sp=C,45] X=60,S=1,R=1,K=1,C=3,Y=8 || L2:[sp=K,1] S=1,R=1,Y=1,K=1,C=1,X=1",-472407041.0,-163323000.0,1,C|K,1
X,56,X,12,Y,1,C,1,K,1,R,7,S,1,C,1,X,1,C,1,S,1,Y,1,K,1,R,1,"L1:[sp=X,56] X=12,Y=1,C=1,K=1,R=7,S=1 || L2:[sp=C,1] X=1,C=1,S=1,Y=1,K=1,R=1",-172572289.0,-163323000.0,1,X|C,1
X,45,K,1,S,1,X,1,R,1,C,3,Y,1,C,1,S,1,R,1,Y,1,K,1,C,1,X,1,"L1:[sp=X,45] K=1,S=1,X=1,R=1,C=3,Y=1 || L2:[sp=C,1] S=1,R=1,Y=1,K=1,C=1,X=1",-5619713.0,-163323000.0,1,X|C,1
K,15,K,7,S,1,Y,34,X,20,C,3,R,3,K,7,K,3,X,1,C,1,S,1,Y,1,R,1,"L1:[sp=K,15] K=7,S=1,Y=34,X=20,C=3,R=3 || L2:[sp=K,7] K=3,X=1,C=1,S=1,Y=1,R=1",-23314789.0,-163324000.0,1,K|K,1
X,56,X,1,Y,1,C,1,K,1,R,7,S,1,C,1,X,1,Y,1,S,1,C,1,K,1,R,1,"L1:[sp=X,56] X=1,Y=1,C=1,K=1,R=7,S=1 || L2:[sp=C,1] X=1,Y=1,S=1,C=1,K=1,R=1",-29299201.0,-163323000.0,1,X|C,1
X,45,K,60,S,1,X,14,R,1,C,3,Y,1,C,1,S,1,Y,1,R,1,K,1,C,1,X,1,"L1:[sp=X,45] K=60,S=1,X=14,R=1,C=3,Y=1 || L2:[sp=C,1] S=1,Y=1,R=1,K=1,C=1,X=1",-29525441.0,-163323000.0,1,X|C,1
Y,52,X,1,R,1,K,1,Y,1,C,1,S,1,K,28,X,1,S,1,Y,1,R,1,C,1,K,1,"L1:[sp=Y,52] X=1,R=1,K=1,Y=1,C=1,S=1 || L2:[sp=K,28] X=1,S=1,Y=1,R=1,C=1,K=1",-160161793.0,-163323000.0,1,Y|K,1
Y,52,X,1,R,1,Y,1,K,1,C,1,S,1,K,28,X,1,S,1,Y,1,R,1,C,1,K,1,"L1:[sp=Y,52] X=1,R=1,Y=1,K=1,C=1,S=1 || L2:[sp=K,28] X=1,S=1,Y=1,R=1,C=1,K=1",-160161793.0,-163323000.0,1,Y|K,1
X,56,X,1,Y,1,C,1,K,1,R,1,S,1,C,1,X,1,S,1,C,1,R,1,K,1,Y,1,"L1:[sp=X,56] X=1,Y=1,C=1,K=1,R=1,S=1 || L2:[sp=C,1] X=1,S=1,C=1,R=1,K=1,Y=1",-8429569.0,-163323000.0,1,X|C,1
Y,52,X,189,R,3,Y,34,K,1,C,1,S,1,K,28,X,1,S,1,Y,1,R,1,C,1,K,1,"L1:[sp=Y,52] X=189,R=3,Y=34,K=1,C=1,S=1 || L2:[sp=K,28] X=1,S=1,Y=1,R=1,C=1,K=1",-inf,-inf,0,Y|K,1
K,15,K,7,S,3,Y,29,X,1,C,3,R,1,K,7,K,3,X,1,C,1,S,1,Y,1,R,1,"L1:[sp=K,15] K=7,S=3,Y=29,X=1,C=3,R=1 || L2:[sp=K,7] K=3,X=1,C=1,S=1,Y=1,R=1",-inf,-inf,0,K|K,1
