L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
Y,57,C,1,S,6,K,47,Y,1,R,2,X,223,K,3,Y,1,K,6,C,1,X,1,R,2,S,1,"L1:[sp=Y,57] C=1,S=6,K=47,Y=1,R=2,X=223 || L2:[sp=K,3] Y=1,K=6,C=1,X=1,R=2,S=1",-14977.0,-163323000.0,1,Y|K,1
Y,57,C,1,K,64,R,6,X,223,Y,114,S,5,Y,119,R,2,Y,1,C,1,X,1,K,4,S,1,"L1:[sp=Y,57] C=1,K=64,R=6,X=223,Y=114,S=5 || L2:[sp=Y,119] R=2,Y=1,C=1,X=1,K=4,S=1",-21529.0,-163323000.0,1,Y|Y,1
K,57,C,1,K,64,R,6,X,223,Y,114,S,5,Y,119,R,2,Y,1,C,1,K,1,X,1,S,1,"L1:[sp=K,57] C=1,K=64,R=6,X=223,Y=114,S=5 || L2:[sp=Y,119] R=2,Y=1,C=1,K=1,X=1,S=1",-21529.0,-163323000.0,1,K|Y,1
Y,57,C,1,K,53,R,6,Y,114,X,223,S,6,Y,119,R,2,Y,1,C,1,X,1,K,4,S,3,"L1:[sp=Y,57] C=1,K=53,R=6,Y=114,X=223,S=6 || L2:[sp=Y,119] R=2,Y=1,C=1,X=1,K=4,S=3",-26833.0,-163323000.0,1,Y|Y,1
Y,57,C,1,K,46,R,6,X,223,Y,114,S,6,Y,119,K,7,Y,1,C,1,R,2,X,1,S,3,"L1:[sp=Y,57] C=1,K=46,R=6,X=223,Y=114,S=6 || L2:[sp=Y,119] K=7,Y=1,C=1,R=2,X=1,S=3",-27697.0,-163323000.0,1,Y|Y,1
Y,57,C,1,S,6,K,45,Y,1,R,2,X,223,Y,1,Y,1,K,40,C,1,S,1,R,1,X,1,"L1:[sp=Y,57] C=1,S=6,K=45,Y=1,R=2,X=223 || L2:[sp=Y,1] Y=1,K=40,C=1,S=1,R=1,X=1",-29497.0,-163323000.0,1,Y|Y,1
Y,57,C,1,S,6,K,45,Y,1,R,2,X,223,K,3,Y,1,K,13,C,1,S,1,R,1,X,1,"L1:[sp=Y,57] C=1,S=6,K=45,Y=1,R=2,X=223 || L2:[sp=K,3] Y=1,K=13,C=1,S=1,R=1,X=1",-29593.0,-163323000.0,1,Y|K,1
Y,57,C,1,S,6,X,223,Y,1,R,2,K,38,K,3,Y,1,K,13,C,1,S,1,R,1,X,1,"L1:[sp=Y,57] C=1,S=6,X=223,Y=1,R=2,K=38 || L2:[sp=K,3] Y=1,K=13,C=1,S=1,R=1,X=1",-30769.0,-163323000.0,1,Y|K,1
Y,57,C,3,K,53,R,2,Y,114,X,223,S,5,Y,119,R,1,Y,1,C,1,X,1,K,17,S,2,"L1:[sp=Y,57] C=3,K=53,R=2,Y=114,X=223,S=5 || L2:[sp=Y,119] R=1,Y=1,C=1,X=1,K=17,S=2",-32373.0,-163323000.0,1,Y|Y,1
Y,57,C,1,S,6,K,47,Y,1,R,2,X,223,K,3,Y,1,K,13,C,1,S,1,R,1,X,1,"L1:[sp=Y,57] C=1,S=6,K=47,Y=1,R=2,X=223 || L2:[sp=K,3] Y=1,K=13,C=1,S=1,R=1,X=1",-34297.0,-163323000.0,1,Y|K,1
K,57,C,1,K,64,R,3,X,223,Y,114,S,5,Y,119,R,2,Y,1,C,1,K,4,X,1,S,2,"L1:[sp=K,57] C=1,K=64,R=3,X=223,Y=114,S=5 || L2:[sp=Y,119] R=2,Y=1,C=1,K=4,X=1,S=2",-37669.0,-163323000.0,1,K|Y,1
Y,57,C,1,S,6,K,45,Y,1,R,2,X,223,Y,1,Y,1,K,13,C,1,S,1,R,1,X,1,"L1:[sp=Y,57] C=1,S=6,K=45,Y=1,R=2,X=223 || L2:[sp=Y,1] Y=1,K=13,C=1,S=1,R=1,X=1",-37729.0,-163323000.0,1,Y|Y,1
K,57,S,6,K,23,Y,40,X,223,C,1,R,2,Y,23,C,1,Y,1,R,1,S,1,K,11,X,1,"L1:[sp=K,57] S=6,K=23,Y=40,X=223,C=1,R=2 || L2:[sp=Y,23] C=1,Y=1,R=1,S=1,K=11,X=1",-40717.0,-163323000.0,1,K|Y,1
Y,57,C,2,K,53,R,4,Y,114,X,223,S,5,Y,119,R,2,Y,1,C,1,X,1,K,4,S,2,"L1:[sp=Y,57] C=2,K=53,R=4,Y=114,X=223,S=5 || L2:[sp=Y,119] R=2,Y=1,C=1,X=1,K=4,S=2",-41697.0,-163323000.0,1,Y|Y,1
Y,57,C,2,K,53,R,2,Y,114,X,223,S,5,Y,119,R,2,Y,1,C,1,X,1,K,4,S,2,"L1:[sp=Y,57] C=2,K=53,R=2,Y=114,X=223,S=5 || L2:[sp=Y,119] R=2,Y=1,C=1,X=1,K=4,S=2",-41729.0,-163323000.0,1,Y|Y,1
X,57,R,2,K,53,C,2,Y,114,X,223,S,5,Y,119,R,2,Y,1,C,1,X,1,K,4,S,2,"L1:[sp=X,57] R=2,K=53,C=2,Y=114,X=223,S=5 || L2:[sp=Y,119] R=2,Y=1,C=1,X=1,K=4,S=2",-41729.0,-163323000.0,1,X|Y,1
Y,57,C,2,K,53,R,2,Y,114,X,223,S,5,Y,119,R,2,Y,1,C,1,X,1,K,4,S,3,"L1:[sp=Y,57] C=2,K=53,R=2,Y=114,X=223,S=5 || L2:[sp=Y,119] R=2,Y=1,C=1,X=1,K=4,S=3",-41729.0,-163323000.0,1,Y|Y,1
Y,57,C,1,K,64,R,6,X,223,Y,114,S,5,Y,119,R,2,Y,1,C,1,X,1,K,4,S,3,"L1:[sp=Y,57] C=1,K=64,R=6,X=223,Y=114,S=5 || L2:[sp=Y,119] R=2,Y=1,C=1,X=1,K=4,S=3",-43033.0,-163323000.0,1,Y|Y,1
Y,57,C,1,K,64,R,6,X,223,Y,114,S,5,Y,119,R,2,Y,1,C,1,X,1,K,4,S,2,"L1:[sp=Y,57] C=1,K=64,R=6,X=223,Y=114,S=5 || L2:[sp=Y,119] R=2,Y=1,C=1,X=1,K=4,S=2",-43033.0,-163323000.0,1,Y|Y,1
Y,57,C,1,K,64,R,6,X,223,Y,114,S,5,Y,119,K,4,Y,1,C,1,R,2,X,1,S,3,"L1:[sp=Y,57] C=1,K=64,R=6,X=223,Y=114,S=5 || L2:[sp=Y,119] K=4,Y=1,C=1,R=2,X=1,S=3",-43033.0,-163323000.0,1,Y|Y,1
Y,57,C,2,K,64,R,2,X,223,Y,114,S,5,Y,119,R,2,Y,1,C,1,X,1,K,4,S,3,"L1:[sp=Y,57] C=2,K=64,R=2,X=223,Y=114,S=5 || L2:[sp=Y,119] R=2,Y=1,C=1,X=1,K=4,S=3",-43041.0,-163323000.0,1,Y|Y,1
Y,57,C,3,S,6,K,45,Y,1,R,1,X,223,K,3,Y,1,K,13,C,1,S,1,R,1,X,13,"L1:[sp=Y,57] C=3,S=6,K=45,Y=1,R=1,X=223 || L2:[sp=K,3] Y=1,K=13,C=1,S=1,R=1,X=13",-44213.0,-163323000.0,1,Y|K,1
K,57,C,2,K,53,R,2,Y,114,X,223,S,5,Y,119,R,2,Y,1,C,1,X,1,K,5,S,2,"L1:[sp=K,57] C=2,K=53,R=2,Y=114,X=223,S=5 || L2:[sp=Y,119] R=2,Y=1,C=1,X=1,K=5,S=2",-44417.0,-163323000.0,1,K|Y,1
Y,57,C,2,K,53,R,2,Y,125,X,223,S,5,Y,119,R,2,Y,1,C,1,X,1,K,4,S,5,"L1:[sp=Y,57] C=2,K=53,R=2,Y=125,X=223,S=5 || L2:[sp=Y,119] R=2,Y=1,C=1,X=1,K=4,S=5",-44705.0,-163323000.0,1,Y|Y,1
Y,57,C,3,S,6,K,45,Y,1,R,1,X,223,K,3,Y,1,K,15,C,1,S,3,R,1,X,10,"L1:[sp=Y,57] C=3,S=6,K=45,Y=1,R=1,X=223 || L2:[sp=K,3] Y=1,K=15,C=1,S=3,R=1,X=10",-45473.0,-163324000.0,1,Y|K,1
Y,57,C,3,S,6,K,45,Y,1,R,1,X,223,K,3,Y,1,K,13,C,1,S,1,R,1,X,10,"L1:[sp=Y,57] C=3,S=6,K=45,Y=1,R=1,X=223 || L2:[sp=K,3] Y=1,K=13,C=1,S=1,R=1,X=10",-58913.0,-163323000.0,1,Y|K,1
