L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
K,144,Y,42,K,8,X,56,C,1,S,3,R,2,X,7,R,1,K,1,X,1,C,1,Y,1,S,1,"L1:[sp=K,144] Y=42,K=8,X=56,C=1,S=3,R=2 || L2:[sp=X,7] R=1,K=1,X=1,C=1,Y=1,S=1",-inf,-inf,0,K|X,1
K,155,K,48,X,28,C,1,Y,52,R,2,S,3,K,21,Y,1,C,1,S,1,K,1,R,1,X,1,"L1:[sp=K,155] K=48,X=28,C=1,Y=52,R=2,S=3 || L2:[sp=K,21] Y=1,C=1,S=1,K=1,R=1,X=1",-inf,-inf,0,K|K,1
Y,125,C,3,X,13,S,3,K,28,Y,223,R,3,Y,136,X,1,K,1,Y,1,C,1,R,1,S,1,"L1:[sp=Y,125] C=3,X=13,S=3,K=28,Y=223,R=3 || L2:[sp=Y,136] X=1,K=1,Y=1,C=1,R=1,S=1",-445879.0,-163323000.0,1,Y|Y,1
X,153,R,3,X,111,Y,53,S,3,C,2,K,22,K,4,S,1,X,1,Y,1,K,1,C,1,R,1,"L1:[sp=X,153] R=3,X=111,Y=53,S=3,C=2,K=22 || L2:[sp=K,4] S=1,X=1,Y=1,K=1,C=1,R=1",-inf,-inf,0,X|K,1
Y,125,C,3,X,13,S,3,K,28,Y,223,R,3,Y,136,X,1,K,1,Y,1,C,1,R,1,S,1,"L1:[sp=Y,125] C=3,X=13,S=3,K=28,Y=223,R=3 || L2:[sp=Y,136] X=1,K=1,Y=1,C=1,R=1,S=1",-445879.0,-163323000.0,1,Y|Y,1
X,56,R,1,X,1,S,1,C,1,K,54,Y,1,X,84,C,1,X,1,Y,1,K,1,S,1,R,1,"L1:[sp=X,56] R=1,X=1,S=1,C=1,K=54,Y=1 || L2:[sp=X,84] C=1,X=1,Y=1,K=1,S=1,R=1",-44706817.0,-163323000.0,1,X|X,1
X,102,X,165,C,1,R,1,Y,1,K,1,S,1,C,1,K,1,S,1,C,1,X,1,Y,1,R,1,"L1:[sp=X,102] X=165,C=1,R=1,Y=1,K=1,S=1 || L2:[sp=C,1] K=1,S=1,C=1,X=1,Y=1,R=1",-64253953.0,-163323000.0,1,X|C,1
Y,125,C,3,X,2,S,2,K,28,Y,34,R,3,Y,136,X,1,K,1,Y,1,C,1,R,1,S,1,"L1:[sp=Y,125] C=3,X=2,S=2,K=28,Y=34,R=3 || L2:[sp=Y,136] X=1,K=1,Y=1,C=1,R=1,S=1",-4056865.0,-163323000.0,1,Y|Y,1
C,160,X,128,S,3,C,2,Y,223,K,51,R,3,Y,22,K,1,Y,1,S,1,X,1,C,1,R,1,"L1:[sp=C,160] X=128,S=3,C=2,Y=223,K=51,R=3 || L2:[sp=Y,22] K=1,Y=1,S=1,X=1,C=1,R=1",-inf,-inf,0,C|Y,1
K,13,S,3,C,2,X,13,R,3,Y,126,K,53,X,9,X,1,K,1,R,1,C,1,Y,1,S,2,"L1:[sp=K,13] S=3,C=2,X=13,R=3,Y=126,K=53 || L2:[sp=X,9] X=1,K=1,R=1,C=1,Y=1,S=2",-inf,-inf,0,K|X,1
X,125,C,3,X,16,S,2,K,28,Y,223,R,2,Y,4,X,1,K,1,Y,1,C,1,R,1,S,1,"L1:[sp=X,125] C=3,X=16,S=2,K=28,Y=223,R=2 || L2:[sp=Y,4] X=1,K=1,Y=1,C=1,R=1,S=1",-inf,-inf,0,X|Y,1
Y,125,C,3,X,16,S,2,K,28,Y,9,R,2,Y,136,X,1,K,1,Y,1,C,1,R,1,S,1,"L1:[sp=Y,125] C=3,X=16,S=2,K=28,Y=9,R=2 || L2:[sp=Y,136] X=1,K=1,Y=1,C=1,R=1,S=1",-10242601.0,-163323000.0,1,Y|Y,1
K,13,S,3,C,2,X,13,R,3,Y,223,K,53,X,9,X,1,K,1,R,1,C,1,Y,1,S,1,"L1:[sp=K,13] S=3,C=2,X=13,R=3,Y=223,K=53 || L2:[sp=X,9] X=1,K=1,R=1,C=1,Y=1,S=1",-50122.0,-163323000.0,1,K|X,1
C,160,X,2,S,2,C,2,Y,34,K,51,R,3,Y,22,K,50,Y,1,S,1,X,1,C,1,R,1,"L1:[sp=C,160] X=2,S=2,C=2,Y=34,K=51,R=3 || L2:[sp=Y,22] K=50,Y=1,S=1,X=1,C=1,R=1",-4079417.0,-163323000.0,1,C|Y,1
K,13,S,2,C,2,X,16,R,2,Y,9,K,53,X,9,X,16,K,22,R,1,C,1,Y,1,S,1,"L1:[sp=K,13] S=2,C=2,X=16,R=2,Y=9,K=53 || L2:[sp=X,9] X=16,K=22,R=1,C=1,Y=1,S=1",-inf,-inf,0,K|X,1
X,56,Y,9,X,16,S,2,C,3,K,1,R,2,X,84,C,1,X,15,Y,1,K,1,S,1,R,1,"L1:[sp=X,56] Y=9,X=16,S=2,C=3,K=1,R=2 || L2:[sp=X,84] C=1,X=15,Y=1,K=1,S=1,R=1",-45041921.0,-163323000.0,1,X|X,1
K,13,S,1,C,2,X,1,R,1,Y,1,K,31,X,9,X,1,K,1,R,1,C,2,Y,1,S,1,"L1:[sp=K,13] S=1,C=2,X=1,R=1,Y=1,K=31 || L2:[sp=X,9] X=1,K=1,R=1,C=2,Y=1,S=1",-56899585.0,-163323000.0,1,K|X,1
X,102,X,1,C,1,R,1,Y,1,K,1,S,1,C,1,K,1,S,1,C,1,X,1,Y,1,R,1,"L1:[sp=X,102] X=1,C=1,R=1,Y=1,K=1,S=1 || L2:[sp=C,1] K=1,S=1,C=1,X=1,Y=1,R=1",-1548289.0,-163323000.0,1,X|C,1
X,56,Y,1,X,1,S,1,C,1,K,1,R,1,X,84,C,1,X,1,Y,1,K,1,S,1,R,1,"L1:[sp=X,56] Y=1,X=1,S=1,C=1,K=1,R=1 || L2:[sp=X,84] C=1,X=1,Y=1,K=1,S=1,R=1",-86704129.0,-163323000.0,1,X|X,1
K,102,X,1,C,2,R,1,Y,1,K,1,S,1,C,1,K,1,S,1,C,1,X,1,Y,1,R,1,"L1:[sp=K,102] X=1,C=2,R=1,Y=1,K=1,S=1 || L2:[sp=C,1] K=1,S=1,C=1,X=1,Y=1,R=1",-2257921.0,-163323000.0,1,K|C,1
K,13,C,2,S,2,X,16,R,2,Y,9,K,53,X,9,X,5,K,27,C,1,R,1,Y,1,S,1,"L1:[sp=K,13] C=2,S=2,X=16,R=2,Y=9,K=53 || L2:[sp=X,9] X=5,K=27,C=1,R=1,Y=1,S=1",-24844961.0,-163323000.0,1,K|X,1
K,13,S,1,C,2,X,1,R,3,Y,9,K,53,X,9,X,1,K,1,R,1,C,1,Y,1,S,1,"L1:[sp=K,13] S=1,C=2,X=1,R=3,Y=9,K=53 || L2:[sp=X,9] X=1,K=1,R=1,C=1,Y=1,S=1",-87221569.0,-163323000.0,1,K|X,1
C,102,X,16,C,1,R,2,Y,1,S,2,K,1,X,1,K,1,S,1,C,1,X,1,Y,1,R,1,"L1:[sp=C,102] X=16,C=1,R=2,Y=1,S=2,K=1 || L2:[sp=X,1] K=1,S=1,C=1,X=1,Y=1,R=1",-61683585.0,-163323000.0,1,C|X,1
X,13,S,1,C,2,X,1,R,1,Y,1,K,53,K,1,X,1,K,1,R,1,C,1,Y,1,S,1,"L1:[sp=X,13] S=1,C=2,X=1,R=1,Y=1,K=53 || L2:[sp=K,1] X=1,K=1,R=1,C=1,Y=1,S=1",-790273.0,-163323000.0,1,X|K,1
X,56,Y,9,X,16,S,2,C,1,K,1,R,2,X,84,C,1,X,1,Y,1,K,1,S,1,R,1,"L1:[sp=X,56] Y=9,X=16,S=2,C=1,K=1,R=2 || L2:[sp=X,84] C=1,X=1,Y=1,K=1,S=1,R=1",-3134209.0,-163323000.0,1,X|X,1
K,13,S,3,C,2,X,13,R,3,Y,223,K,53,X,9,X,1,K,1,R,1,C,1,Y,1,S,1,"L1:[sp=K,13] S=3,C=2,X=13,R=3,Y=223,K=53 || L2:[sp=X,9] X=1,K=1,R=1,C=1,Y=1,S=1",-50122.0,-163323000.0,1,K|X,1
X,102,X,1,C,1,R,1,Y,1,K,1,S,1,X,1,K,1,R,1,C,1,X,1,Y,1,S,1,"L1:[sp=X,102] X=1,C=1,R=1,Y=1,K=1,S=1 || L2:[sp=X,1] K=1,R=1,C=1,X=1,Y=1,S=1",-1548289.0,-163323000.0,1,X|X,1
Y,125,C,3,X,13,S,3,K,28,Y,223,R,3,Y,136,X,1,K,1,Y,1,C,1,R,1,S,1,"L1:[sp=Y,125] C=3,X=13,S=3,K=28,Y=223,R=3 || L2:[sp=Y,136] X=1,K=1,Y=1,C=1,R=1,S=1",-445879.0,-163323000.0,1,Y|Y,1
C,160,X,2,S,2,C,2,Y,34,K,19,R,3,Y,22,Y,1,R,1,S,1,X,1,C,1,K,19,"L1:[sp=C,160] X=2,S=2,C=2,Y=34,K=19,R=3 || L2:[sp=Y,22] Y=1,R=1,S=1,X=1,C=1,K=19",-5963913.0,-163323000.0,1,C|Y,1
K,13,S,3,R,3,X,13,C,2,Y,223,K,53,X,9,X,1,K,1,R,1,C,1,Y,1,S,1,"L1:[sp=K,13] S=3,R=3,X=13,C=2,Y=223,K=53 || L2:[sp=X,9] X=1,K=1,R=1,C=1,Y=1,S=1",-50122.0,-163323000.0,1,K|X,1
C,56,Y,9,X,16,S,2,C,1,R,2,K,1,K,1,C,1,X,1,Y,1,K,1,S,1,R,1,"L1:[sp=C,56] Y=9,X=16,S=2,C=1,R=2,K=1 || L2:[sp=K,1] C=1,X=1,Y=1,K=1,S=1,R=1",-33944577.0,-163323000.0,1,C|K,1
X,102,X,1,C,1,R,1,Y,1,K,1,S,1,C,1,K,1,S,1,C,1,X,1,Y,1,R,1,"L1:[sp=X,102] X=1,C=1,R=1,Y=1,K=1,S=1 || L2:[sp=C,1] K=1,S=1,C=1,X=1,Y=1,R=1",-1548289.0,-163323000.0,1,X|C,1
X,56,Y,185,X,16,S,2,C,1,K,1,R,2,X,84,C,1,X,1,Y,1,K,1,S,1,R,1,"L1:[sp=X,56] Y=185,X=16,S=2,C=1,K=1,R=2 || L2:[sp=X,84] C=1,X=1,Y=1,K=1,S=1,R=1",-2732353.0,-163323000.0,1,X|X,1
Y,125,C,3,X,13,S,3,K,28,Y,200,R,3,Y,136,S,1,K,1,Y,1,C,1,R,2,X,1,"L1:[sp=Y,125] C=3,X=13,S=3,K=28,Y=200,R=3 || L2:[sp=Y,136] S=1,K=1,Y=1,C=1,R=2,X=1",-inf,-inf,0,Y|Y,1
K,102,K,21,C,2,R,3,Y,22,X,13,S,3,C,1,K,1,S,1,C,1,X,1,Y,1,R,1,"L1:[sp=K,102] K=21,C=2,R=3,Y=22,X=13,S=3 || L2:[sp=C,1] K=1,S=1,C=1,X=1,Y=1,R=1",-35694181.0,-163323000.0,1,K|C,1
K,13,S,1,C,2,X,1,R,2,Y,223,K,53,K,53,X,1,K,1,R,1,C,1,Y,1,S,1,"L1:[sp=K,13] S=1,C=2,X=1,R=2,Y=223,K=53 || L2:[sp=K,53] X=1,K=1,R=1,C=1,Y=1,S=1",-1357441.0,-163323000.0,1,K|K,1
K,13,S,2,C,2,X,13,R,3,Y,223,K,53,X,9,X,1,K,1,R,1,C,2,Y,1,S,1,"L1:[sp=K,13] S=2,C=2,X=13,R=3,Y=223,K=53 || L2:[sp=X,9] X=1,K=1,R=1,C=2,Y=1,S=1",-inf,-inf,0,K|X,1
X,102,X,1,C,1,R,1,Y,139,K,1,S,1,C,1,K,1,C,1,S,1,X,1,Y,1,R,1,"L1:[sp=X,102] X=1,C=1,R=1,Y=139,K=1,S=1 || L2:[sp=C,1] K=1,C=1,S=1,X=1,Y=1,R=1",-781057.0,-163324000.0,1,X|C,1
K,102,X,1,C,2,R,1,Y,1,K,37,S,1,C,1,K,1,R,1,C,1,X,1,Y,1,S,1,"L1:[sp=K,102] X=1,C=2,R=1,Y=1,K=37,S=1 || L2:[sp=C,1] K=1,R=1,C=1,X=1,Y=1,S=1",-51028993.0,-163323000.0,1,K|C,1
K,13,S,3,C,2,X,13,R,3,Y,223,K,53,X,9,X,1,K,1,R,1,C,1,Y,1,S,1,"L1:[sp=K,13] S=3,C=2,X=13,R=3,Y=223,K=53 || L2:[sp=X,9] X=1,K=1,R=1,C=1,Y=1,S=1",-50122.0,-163323000.0,1,K|X,1
X,56,Y,9,X,16,S,1,C,1,K,1,R,2,X,84,C,1,X,1,Y,1,K,1,S,1,R,1,"L1:[sp=X,56] Y=9,X=16,S=1,C=1,K=1,R=2 || L2:[sp=X,84] C=1,X=1,Y=1,K=1,S=1,R=1",-3201409.0,-163323000.0,1,X|X,1
X,13,S,1,C,2,X,1,R,1,Y,1,K,40,K,1,X,1,K,1,R,1,C,1,Y,1,S,1,"L1:[sp=X,13] S=1,C=2,X=1,R=1,Y=1,K=40 || L2:[sp=K,1] X=1,K=1,R=1,C=1,Y=1,S=1",-790273.0,-163323000.0,1,X|K,1
C,160,X,2,S,2,C,2,Y,34,K,51,R,3,Y,22,K,50,Y,1,S,1,X,1,R,1,C,1,"L1:[sp=C,160] X=2,S=2,C=2,Y=34,K=51,R=3 || L2:[sp=Y,22] K=50,Y=1,S=1,X=1,R=1,C=1",-4079417.0,-163323000.0,1,C|Y,1
X,102,X,1,C,2,R,1,Y,1,K,1,S,1,C,1,K,1,S,1,C,1,X,1,Y,1,R,1,"L1:[sp=X,102] X=1,C=2,R=1,Y=1,K=1,S=1 || L2:[sp=C,1] K=1,S=1,C=1,X=1,Y=1,R=1",-1290241.0,-163323000.0,1,X|C,1
Y,125,C,3,X,13,S,1,K,28,Y,223,R,3,Y,136,X,6,K,19,Y,1,C,1,R,3,S,1,"L1:[sp=Y,125] C=3,X=13,S=1,K=28,Y=223,R=3 || L2:[sp=Y,136] X=6,K=19,Y=1,C=1,R=3,S=1",-inf,-inf,0,Y|Y,1
X,102,X,1,C,1,R,1,Y,1,K,1,S,3,C,1,K,1,S,1,C,1,X,1,Y,1,R,1,"L1:[sp=X,102] X=1,C=1,R=1,Y=1,K=1,S=3 || L2:[sp=C,1] K=1,S=1,C=1,X=1,Y=1,R=1",-2580481.0,-163323000.0,1,X|C,1
K,13,S,3,C,2,X,13,R,3,Y,223,K,53,X,9,X,1,K,1,R,1,C,1,Y,1,S,1,"L1:[sp=K,13] S=3,C=2,X=13,R=3,Y=223,K=53 || L2:[sp=X,9] X=1,K=1,R=1,C=1,Y=1,S=1",-inf,-inf,0,K|X,1
K,13,K,53,C,2,X,1,R,2,Y,223,S,1,K,53,X,1,K,25,R,1,C,2,Y,1,S,1,"L1:[sp=K,13] K=53,C=2,X=1,R=2,Y=223,S=1 || L2:[sp=K,53] X=1,K=25,R=1,C=2,Y=1,S=1",-45161089.0,-163323000.0,1,K|K,1
Y,125,X,13,C,3,S,3,K,28,Y,223,R,3,X,136,X,1,K,1,Y,1,C,1,R,1,S,1,"L1:[sp=Y,125] X=13,C=3,S=3,K=28,Y=223,R=3 || L2:[sp=X,136] X=1,K=1,Y=1,C=1,R=1,S=1",-31159.0,-163323000.0,1,Y|X,1
X,102,X,1,C,2,R,1,Y,1,K,1,S,1,C,2,K,1,S,1,C,1,X,1,Y,1,R,1,"L1:[sp=X,102] X=1,C=2,R=1,Y=1,K=1,S=1 || L2:[sp=C,2] K=1,S=1,C=1,X=1,Y=1,R=1",-1548289.0,-163323000.0,1,X|C,1
X,102,X,1,C,1,R,1,Y,1,K,1,S,1,Y,1,K,1,R,1,C,1,X,1,Y,1,S,1,"L1:[sp=X,102] X=1,C=1,R=1,Y=1,K=1,S=1 || L2:[sp=Y,1] K=1,R=1,C=1,X=1,Y=1,S=1",-inf,-inf,0,X|Y,1
X,13,S,1,C,2,X,13,R,3,Y,223,K,53,K,53,X,1,K,1,S,1,C,1,Y,1,R,2,"L1:[sp=X,13] S=1,C=2,X=13,R=3,Y=223,K=53 || L2:[sp=K,53] X=1,K=1,S=1,C=1,Y=1,R=2",-inf,-inf,0,X|K,1
K,13,S,2,C,2,X,1,R,2,K,53,Y,223,X,9,X,1,K,1,R,1,C,1,Y,1,S,1,"L1:[sp=K,13] S=2,C=2,X=1,R=2,K=53,Y=223 || L2:[sp=X,9] X=1,K=1,R=1,C=1,Y=1,S=1",-71483097.0,-163323000.0,1,K|X,1
X,102,X,1,S,1,R,1,Y,1,K,1,C,1,X,1,K,1,R,1,X,1,C,1,Y,1,S,1,"L1:[sp=X,102] X=1,S=1,R=1,Y=1,K=1,C=1 || L2:[sp=X,1] K=1,R=1,X=1,C=1,Y=1,S=1",-1548289.0,-163323000.0,1,X|X,1
X,13,S,1,C,2,X,1,R,1,Y,1,K,40,K,1,X,1,K,1,R,1,C,1,Y,1,S,1,"L1:[sp=X,13] S=1,C=2,X=1,R=1,Y=1,K=40 || L2:[sp=K,1] X=1,K=1,R=1,C=1,Y=1,S=1",-790273.0,-163323000.0,1,X|K,1
Y,125,C,3,X,145,S,2,K,28,Y,223,R,3,Y,136,X,1,K,1,Y,65,C,1,R,1,S,1,"L1:[sp=Y,125] C=3,X=145,S=2,K=28,Y=223,R=3 || L2:[sp=Y,136] X=1,K=1,Y=65,C=1,R=1,S=1",-inf,-inf,0,Y|Y,1
K,13,S,3,R,3,X,13,C,2,Y,223,K,53,X,9,S,1,K,1,R,1,C,1,Y,1,X,1,"L1:[sp=K,13] S=3,R=3,X=13,C=2,Y=223,K=53 || L2:[sp=X,9] S=1,K=1,R=1,C=1,Y=1,X=1",-50122.0,-163323000.0,1,K|X,1
X,13,S,1,C,2,X,1,R,1,Y,1,K,40,K,1,X,1,R,1,K,15,C,1,Y,1,S,1,"L1:[sp=X,13] S=1,C=2,X=1,R=1,Y=1,K=40 || L2:[sp=K,1] X=1,R=1,K=15,C=1,Y=1,S=1",-802369.0,-163323000.0,1,X|K,1
K,102,X,1,C,2,R,1,Y,1,K,1,S,1,X,1,K,1,S,1,C,1,X,1,Y,1,R,1,"L1:[sp=K,102] X=1,C=2,R=1,Y=1,K=1,S=1 || L2:[sp=X,1] K=1,S=1,C=1,X=1,Y=1,R=1",-2257921.0,-163323000.0,1,K|X,1
X,13,S,2,C,2,X,1,R,1,Y,1,K,40,K,20,X,1,K,1,R,1,C,1,Y,1,S,1,"L1:[sp=X,13] S=2,C=2,X=1,R=1,Y=1,K=40 || L2:[sp=K,20] X=1,K=1,R=1,C=1,Y=1,S=1",-1505281.0,-163323000.0,1,X|K,1
Y,125,C,3,X,13,S,1,K,28,Y,71,R,3,Y,136,X,1,K,1,Y,2,C,1,R,1,S,1,"L1:[sp=Y,125] C=3,X=13,S=1,K=28,Y=71,R=3 || L2:[sp=Y,136] X=1,K=1,Y=2,C=1,R=1,S=1",-3097225.0,-163323000.0,1,Y|Y,1
X,102,X,1,C,1,R,1,Y,139,K,58,S,1,C,1,K,1,S,1,C,1,X,1,Y,1,R,1,"L1:[sp=X,102] X=1,C=1,R=1,Y=139,K=58,S=1 || L2:[sp=C,1] K=1,S=1,C=1,X=1,Y=1,R=1",-inf,-inf,0,X|C,1
X,102,X,120,C,2,R,1,Y,1,K,1,S,2,C,1,K,1,C,1,S,1,X,1,Y,1,R,1,"L1:[sp=X,102] X=120,C=2,R=1,Y=1,K=1,S=2 || L2:[sp=C,1] K=1,C=1,S=1,X=1,Y=1,R=1",-47007745.0,-163323000.0,1,X|C,1
X,13,S,1,C,2,X,13,R,3,Y,223,K,53,K,1,X,1,K,1,R,1,C,1,Y,1,S,1,"L1:[sp=X,13] S=1,C=2,X=13,R=3,Y=223,K=53 || L2:[sp=K,1] X=1,K=1,R=1,C=1,Y=1,S=1",-inf,-inf,0,X|K,1
X,13,S,3,C,2,X,1,R,1,Y,1,K,47,K,1,X,1,K,1,R,1,C,1,Y,1,S,1,"L1:[sp=X,13] S=3,C=2,X=1,R=1,Y=1,K=47 || L2:[sp=K,1] X=1,K=1,R=1,C=1,Y=1,S=1",-2327809.0,-163323000.0,1,X|K,1
K,13,S,3,C,2,X,13,R,3,Y,223,K,53,X,9,X,1,K,41,R,1,C,1,Y,1,S,1,"L1:[sp=K,13] S=3,C=2,X=13,R=3,Y=223,K=53 || L2:[sp=X,9] X=1,K=41,R=1,C=1,Y=1,S=1",-50122.0,-163323000.0,1,K|X,1
C,102,X,1,C,2,R,1,Y,1,K,1,S,1,X,1,K,1,S,1,C,1,X,1,Y,1,R,1,"L1:[sp=C,102] X=1,C=2,R=1,Y=1,K=1,S=1 || L2:[sp=X,1] K=1,S=1,C=1,X=1,Y=1,R=1",-86704129.0,-163323000.0,1,C|X,1
Y,125,X,13,C,3,S,3,K,28,Y,223,R,3,X,136,X,1,K,1,Y,1,C,1,R,1,S,1,"L1:[sp=Y,125] X=13,C=3,S=3,K=28,Y=223,R=3 || L2:[sp=X,136] X=1,K=1,Y=1,C=1,R=1,S=1",-31159.0,-163323000.0,1,Y|X,1
X,102,X,13,S,3,R,3,Y,1,K,1,C,1,X,1,K,1,R,1,X,1,C,1,Y,1,S,1,"L1:[sp=X,102] X=13,S=3,R=3,Y=1,K=1,C=1 || L2:[sp=X,1] K=1,R=1,X=1,C=1,Y=1,S=1",-17305345.0,-163323000.0,1,X|X,1
X,125,X,1,C,3,S,1,K,10,Y,223,R,1,Y,1,X,1,K,1,Y,1,C,1,R,1,S,1,"L1:[sp=X,125] X=1,C=3,S=1,K=10,Y=223,R=1 || L2:[sp=Y,1] X=1,K=1,Y=1,C=1,R=1,S=1",-inf,-inf,0,X|Y,1
Y,102,X,1,S,1,R,1,Y,1,K,1,C,1,X,1,K,1,R,1,X,1,C,1,Y,1,S,1,"L1:[sp=Y,102] X=1,S=1,R=1,Y=1,K=1,C=1 || L2:[sp=X,1] K=1,R=1,X=1,C=1,Y=1,S=1",-1548289.0,-163323000.0,1,Y|X,1
