L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
C,156,C,1,Y,1,K,1,R,1,X,1,S,1,X,60,Y,1,S,1,K,1,C,1,X,1,R,1,"L1:[sp=C,156] C=1,Y=1,K=1,R=1,X=1,S=1 || L2:[sp=X,60] Y=1,S=1,K=1,C=1,X=1,R=1",-629407745.0,-163323000.0,1,C|X,1
Y,105,C,1,X,1,K,1,Y,1,R,1,S,1,C,2,X,1,R,1,C,1,S,1,Y,1,K,1,"L1:[sp=Y,105] C=1,X=1,K=1,Y=1,R=1,S=1 || L2:[sp=C,2] X=1,R=1,C=1,S=1,Y=1,K=1",-12644353.0,-163323000.0,1,Y|C,1
C,139,C,1,K,42,S,7,X,12,R,2,Y,21,Y,5,S,1,X,1,Y,1,C,1,K,1,R,1,"L1:[sp=C,139] C=1,K=42,S=7,X=12,R=2,Y=21 || L2:[sp=Y,5] S=1,X=1,Y=1,C=1,K=1,R=1",-55182729.0,-163323000.0,1,C|Y,1
X,151,X,199,S,2,K,38,R,3,Y,125,C,3,K,20,Y,1,X,1,K,1,C,1,S,1,R,1,"L1:[sp=X,151] X=199,S=2,K=38,R=3,Y=125,C=3 || L2:[sp=K,20] Y=1,X=1,K=1,C=1,S=1,R=1",-inf,-inf,0,X|K,1
C,132,R,6,S,5,K,9,C,3,X,80,Y,166,Y,51,K,1,R,1,S,1,X,1,Y,1,C,1,"L1:[sp=C,132] R=6,S=5,K=9,C=3,X=80,Y=166 || L2:[sp=Y,51] K=1,R=1,S=1,X=1,Y=1,C=1",-inf,-inf,0,C|Y,1
K,52,S,2,Y,137,K,3,C,2,X,94,R,4,X,5,Y,1,C,1,R,1,K,1,X,1,S,1,"L1:[sp=K,52] S=2,Y=137,K=3,C=2,X=94,R=4 || L2:[sp=X,5] Y=1,C=1,R=1,K=1,X=1,S=1",-inf,-inf,0,K|X,1
Y,127,K,36,C,3,R,4,S,7,Y,96,X,83,C,1,Y,1,K,1,S,1,X,1,C,1,R,1,"L1:[sp=Y,127] K=36,C=3,R=4,S=7,Y=96,X=83 || L2:[sp=C,1] Y=1,K=1,S=1,X=1,C=1,R=1",-inf,-inf,0,Y|C,1
K,24,X,162,S,7,R,7,K,9,Y,90,C,2,X,14,K,1,R,1,X,1,Y,1,C,1,S,1,"L1:[sp=K,24] X=162,S=7,R=7,K=9,Y=90,C=2 || L2:[sp=X,14] K=1,R=1,X=1,Y=1,C=1,S=1",-inf,-inf,0,K|X,1
C,168,C,2,X,37,R,2,Y,61,K,17,S,4,K,13,X,1,C,1,K,1,S,1,Y,1,R,1,"L1:[sp=C,168] C=2,X=37,R=2,Y=61,K=17,S=4 || L2:[sp=K,13] X=1,C=1,K=1,S=1,Y=1,R=1",-37218327.0,-163324000.0,1,C|K,1
X,32,X,63,S,1,R,4,K,46,C,1,Y,126,Y,125,S,1,K,1,X,1,C,1,Y,1,R,1,"L1:[sp=X,32] X=63,S=1,R=4,K=46,C=1,Y=126 || L2:[sp=Y,125] S=1,K=1,X=1,C=1,Y=1,R=1",-inf,-inf,0,X|Y,1
C,54,X,153,C,2,S,7,R,4,K,44,Y,49,X,19,C,1,S,1,K,1,Y,1,R,1,X,1,"L1:[sp=C,54] X=153,C=2,S=7,R=4,K=44,Y=49 || L2:[sp=X,19] C=1,S=1,K=1,Y=1,R=1,X=1",-inf,-inf,0,C|X,1
K,133,R,7,Y,169,K,33,X,141,S,6,C,2,C,2,S,1,C,1,R,1,X,1,Y,1,K,1,"L1:[sp=K,133] R=7,Y=169,K=33,X=141,S=6,C=2 || L2:[sp=C,2] S=1,C=1,R=1,X=1,Y=1,K=1",-inf,-inf,0,K|C,1
K,138,C,3,X,163,R,1,S,1,Y,151,K,36,X,159,C,1,S,1,Y,1,R,1,K,1,X,1,"L1:[sp=K,138] C=3,X=163,R=1,S=1,Y=151,K=36 || L2:[sp=X,159] C=1,S=1,Y=1,R=1,K=1,X=1",-inf,-inf,0,K|X,1
Y,148,R,1,Y,51,K,58,X,167,S,5,C,2,X,120,S,1,R,1,X,1,K,1,Y,1,C,1,"L1:[sp=Y,148] R=1,Y=51,K=58,X=167,S=5,C=2 || L2:[sp=X,120] S=1,R=1,X=1,K=1,Y=1,C=1",-inf,-inf,0,Y|X,1
C,82,C,1,S,6,R,7,K,6,Y,203,X,133,Y,53,S,1,X,1,C,1,Y,1,R,1,K,1,"L1:[sp=C,82] C=1,S=6,R=7,K=6,Y=203,X=133 || L2:[sp=Y,53] S=1,X=1,C=1,Y=1,R=1,K=1",-inf,-inf,0,C|Y,1
K,35,Y,27,S,3,C,3,X,13,R,1,K,48,C,1,K,1,R,1,Y,1,S,1,X,1,C,1,"L1:[sp=K,35] Y=27,S=3,C=3,X=13,R=1,K=48 || L2:[sp=C,1] K=1,R=1,Y=1,S=1,X=1,C=1",-407783755.0,-163323000.0,1,K|C,1
K,23,S,4,C,2,Y,183,R,2,K,31,X,38,K,10,R,1,X,1,C,1,Y,1,S,1,K,1,"L1:[sp=K,23] S=4,C=2,Y=183,R=2,K=31,X=38 || L2:[sp=K,10] R=1,X=1,C=1,Y=1,S=1,K=1",-inf,-inf,0,K|K,1
K,56,S,6,K,57,R,3,Y,23,C,3,X,105,Y,10,Y,1,K,1,R,1,S,1,X,1,C,1,"L1:[sp=K,56] S=6,K=57,R=3,Y=23,C=3,X=105 || L2:[sp=Y,10] Y=1,K=1,R=1,S=1,X=1,C=1",-inf,-inf,0,K|Y,1
K,120,S,5,R,4,K,27,C,1,X,97,Y,215,K,10,S,1,C,1,R,1,Y,1,K,1,X,1,"L1:[sp=K,120] S=5,R=4,K=27,C=1,X=97,Y=215 || L2:[sp=K,10] S=1,C=1,R=1,Y=1,K=1,X=1",-inf,-inf,0,K|K,1
X,64,K,44,Y,174,R,3,C,2,X,173,S,7,Y,124,S,1,Y,1,K,1,R,1,X,1,C,1,"L1:[sp=X,64] K=44,Y=174,R=3,C=2,X=173,S=7 || L2:[sp=Y,124] S=1,Y=1,K=1,R=1,X=1,C=1",-inf,-inf,0,X|Y,1
Y,105,C,1,X,1,K,1,Y,1,R,1,S,1,C,2,X,1,R,1,C,1,S,1,Y,1,K,1,"L1:[sp=Y,105] C=1,X=1,K=1,Y=1,R=1,S=1 || L2:[sp=C,2] X=1,R=1,C=1,S=1,Y=1,K=1",-12644353.0,-163323000.0,1,Y|C,1
C,139,C,1,K,42,S,7,X,12,R,2,Y,21,Y,5,S,1,X,1,R,1,C,1,K,1,Y,1,"L1:[sp=C,139] C=1,K=42,S=7,X=12,R=2,Y=21 || L2:[sp=Y,5] S=1,X=1,R=1,C=1,K=1,Y=1",-55182729.0,-163323000.0,1,C|Y,1
K,35,X,13,S,3,C,3,Y,27,R,1,K,48,C,1,X,1,R,1,Y,1,K,8,S,3,C,1,"L1:[sp=K,35] X=13,S=3,C=3,Y=27,R=1,K=48 || L2:[sp=C,1] X=1,R=1,Y=1,K=8,S=3,C=1",-451135819.0,-163323000.0,1,K|C,1
C,156,C,1,Y,1,K,1,R,1,X,1,S,1,X,1,Y,1,S,1,K,1,C,1,X,1,R,1,"L1:[sp=C,156] C=1,Y=1,K=1,R=1,X=1,S=1 || L2:[sp=X,1] Y=1,S=1,K=1,C=1,X=1,R=1",-314703873.0,-163323000.0,1,C|X,1
C,105,C,1,X,7,K,1,Y,1,R,1,S,1,Y,2,X,1,S,1,C,1,R,1,Y,1,K,1,"L1:[sp=C,105] C=1,X=7,K=1,Y=1,R=1,S=1 || L2:[sp=Y,2] X=1,S=1,C=1,R=1,Y=1,K=1",-179830785.0,-163323000.0,1,C|Y,1
C,168,C,2,X,37,R,2,Y,61,K,17,S,4,X,37,X,1,C,1,K,7,S,1,Y,1,R,1,"L1:[sp=C,168] C=2,X=37,R=2,Y=61,K=17,S=4 || L2:[sp=X,37] X=1,C=1,K=7,S=1,Y=1,R=1",-16284841.0,-163324000.0,1,C|X,1
C,156,K,1,Y,1,C,1,R,3,X,1,S,1,X,60,Y,1,S,1,K,1,C,1,X,1,R,1,"L1:[sp=C,156] K=1,Y=1,C=1,R=3,X=1,S=1 || L2:[sp=X,60] Y=1,S=1,K=1,C=1,X=1,R=1",-1069350913.0,-163323000.0,1,C|X,1
C,105,C,1,X,198,K,1,Y,27,R,1,S,3,Y,2,X,1,R,1,C,1,S,1,Y,1,K,1,"L1:[sp=C,105] C=1,X=198,K=1,Y=27,R=1,S=3 || L2:[sp=Y,2] X=1,R=1,C=1,S=1,Y=1,K=1",-82237569.0,-163323000.0,1,C|Y,1
K,35,Y,1,S,1,C,3,X,1,R,1,K,48,C,1,K,1,R,1,Y,1,S,1,X,1,C,1,"L1:[sp=K,35] Y=1,S=1,C=3,X=1,R=1,K=48 || L2:[sp=C,1] K=1,R=1,Y=1,S=1,X=1,C=1",-356500481.0,-163323000.0,1,K|C,1
K,35,Y,27,S,3,C,3,X,13,R,1,K,48,C,1,K,1,R,1,Y,1,S,1,X,1,C,1,"L1:[sp=K,35] Y=27,S=3,C=3,X=13,R=1,K=48 || L2:[sp=C,1] K=1,R=1,Y=1,S=1,X=1,C=1",-407783755.0,-163323000.0,1,K|C,1
Y,105,C,1,X,1,S,1,Y,113,R,1,K,1,C,2,X,1,R,1,C,1,S,1,Y,1,K,1,"L1:[sp=Y,105] C=1,X=1,S=1,Y=113,R=1,K=1 || L2:[sp=C,2] X=1,R=1,C=1,S=1,Y=1,K=1",-240242689.0,-163323000.0,1,Y|C,1
