L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
K,127,R,7,S,7,Y,1,C,1,X,1,K,1,X,146,X,1,Y,1,K,1,R,7,S,7,C,1,"L1:[sp=K,127] R=7,S=7,Y=1,C=1,X=1,K=1 || L2:[sp=X,146] X=1,Y=1,K=1,R=7,S=7,C=1",-71286001.0,-1749200.0,1,K|X,1
Y,394,K,1,S,7,Y,1,X,1,R,7,C,1,C,1,S,7,C,1,X,1,Y,1,K,1,R,7,"L1:[sp=Y,394] K=1,S=7,Y=1,X=1,R=7,C=1 || L2:[sp=C,1] S=7,C=1,X=1,Y=1,K=1,R=7",-2092801.0,-1956470.0,1,Y|C,1
C,355,K,21,Y,141,X,77,S,7,C,3,R,7,C,3,X,1,R,7,K,1,S,7,C,1,Y,1,"L1:[sp=C,355] K=21,Y=141,X=77,S=7,C=3,R=7 || L2:[sp=C,3] X=1,R=7,K=1,S=7,C=1,Y=1",-149035289.0,-16865.0,1,C|C,1
C,211,X,174,K,52,S,7,Y,50,C,1,R,7,C,1,C,1,S,7,K,1,X,1,R,7,Y,1,"L1:[sp=C,211] X=174,K=52,S=7,Y=50,C=1,R=7 || L2:[sp=C,1] C=1,S=7,K=1,X=1,R=7,Y=1",-149035285.0,-15228.1,1,C|C,1
Y,326,Y,26,S,7,C,2,K,5,X,115,R,7,C,2,R,7,C,1,X,1,K,1,S,7,Y,1,"L1:[sp=Y,326] Y=26,S=7,C=2,K=5,X=115,R=7 || L2:[sp=C,2] R=7,C=1,X=1,K=1,S=7,Y=1",-35549749.0,-34302.1,1,Y|C,1
K,153,X,192,S,7,Y,141,R,7,C,1,K,48,C,1,C,1,X,1,K,1,R,7,S,7,Y,1,"L1:[sp=K,153] X=192,S=7,Y=141,R=7,C=1,K=48 || L2:[sp=C,1] C=1,X=1,K=1,R=7,S=7,Y=1",-335329357.0,-41356.4,1,K|C,1
Y,112,Y,78,C,1,K,57,S,7,X,105,R,7,X,61,S,7,C,1,K,1,Y,1,X,1,R,7,"L1:[sp=Y,112] Y=78,C=1,K=57,S=7,X=105,R=7 || L2:[sp=X,61] S=7,C=1,K=1,Y=1,X=1,R=7",-3669139.0,-41421.5,1,Y|X,1
X,641,S,7,K,46,X,132,C,3,R,7,Y,72,K,34,Y,1,X,1,C,1,K,1,S,7,R,7,"L1:[sp=X,641] S=7,K=46,X=132,C=3,R=7,Y=72 || L2:[sp=K,34] Y=1,X=1,C=1,K=1,S=7,R=7",-12690225.0,-15267.4,1,X|K,1
K,401,S,7,X,130,R,7,K,62,Y,204,C,2,C,2,K,1,R,7,Y,1,X,1,S,7,C,1,"L1:[sp=K,401] S=7,X=130,R=7,K=62,Y=204,C=2 || L2:[sp=C,2] K=1,R=7,Y=1,X=1,S=7,C=1",-288755833.0,-28812.1,1,K|C,1
Y,241,R,7,C,1,X,44,Y,102,K,57,S,7,C,1,K,1,X,1,R,7,Y,1,C,1,S,7,"L1:[sp=Y,241] R=7,C=1,X=44,Y=102,K=57,S=7 || L2:[sp=C,1] K=1,X=1,R=7,Y=1,C=1,S=7",-209196319.0,-40608.4,1,Y|C,1
Y,475,C,3,S,7,Y,119,X,63,K,9,R,7,C,3,C,1,Y,1,R,7,X,1,K,1,S,7,"L1:[sp=Y,475] C=3,S=7,Y=119,X=63,K=9,R=7 || L2:[sp=C,3] C=1,Y=1,R=7,X=1,K=1,S=7",-81354145.0,-14629.5,1,Y|C,1
X,495,S,7,C,2,R,7,X,219,K,41,Y,132,Y,92,K,1,X,1,R,7,C,1,Y,1,S,7,"L1:[sp=X,495] S=7,C=2,R=7,X=219,K=41,Y=132 || L2:[sp=Y,92] K=1,X=1,R=7,C=1,Y=1,S=7",-inf,-inf,0,X|Y,1
C,99,X,113,S,7,K,47,C,3,R,7,Y,177,X,105,C,1,X,1,R,7,Y,1,K,1,S,7,"L1:[sp=C,99] X=113,S=7,K=47,C=3,R=7,Y=177 || L2:[sp=X,105] C=1,X=1,R=7,Y=1,K=1,S=7",-6152841.0,-15433.1,1,C|X,1
Y,398,R,7,C,3,X,117,Y,201,S,7,K,20,Y,35,S,7,K,1,Y,1,X,1,R,7,C,1,"L1:[sp=Y,398] R=7,C=3,X=117,Y=201,S=7,K=20 || L2:[sp=Y,35] S=7,K=1,Y=1,X=1,R=7,C=1",-12305673.0,-14491.2,1,Y|Y,1
X,359,K,51,Y,40,S,7,C,1,X,3,R,7,K,32,K,1,Y,1,C,1,R,7,X,1,S,7,"L1:[sp=X,359] K=51,Y=40,S=7,C=1,X=3,R=7 || L2:[sp=K,32] K=1,Y=1,C=1,R=7,X=1,S=7",-865351.0,-41149.4,1,X|K,1
C,710,R,7,S,7,X,57,Y,202,K,55,C,2,C,1,K,1,Y,1,R,7,C,1,X,1,S,7,"L1:[sp=C,710] R=7,S=7,X=57,Y=202,K=55,C=2 || L2:[sp=C,1] K=1,Y=1,R=7,C=1,X=1,S=7",-298070545.0,-15341.4,1,C|C,1
C,732,S,7,R,7,Y,146,K,28,X,206,C,3,C,2,R,7,Y,1,K,1,S,7,X,1,C,1,"L1:[sp=C,732] S=7,R=7,Y=146,K=28,X=206,C=3 || L2:[sp=C,2] R=7,Y=1,K=1,S=7,X=1,C=1",-298070541.0,-17031.4,1,C|C,1
C,939,R,7,S,7,K,44,C,1,Y,113,X,63,Y,35,K,1,C,1,R,7,S,7,Y,1,X,1,"L1:[sp=C,939] R=7,S=7,K=44,C=1,Y=113,X=63 || L2:[sp=Y,35] K=1,C=1,R=7,S=7,Y=1,X=1",-4785553.0,-15220.9,1,C|Y,1
X,715,C,3,K,5,Y,161,S,7,X,117,R,7,X,60,X,1,Y,1,S,7,K,1,R,7,C,1,"L1:[sp=X,715] C=3,K=5,Y=161,S=7,X=117,R=7 || L2:[sp=X,60] X=1,Y=1,S=7,K=1,R=7,C=1",-4101915.0,-20257.6,1,X|X,1
X,490,C,2,Y,130,R,7,X,57,K,21,S,7,Y,52,S,7,K,1,Y,1,X,1,R,7,C,1,"L1:[sp=X,490] C=2,Y=130,R=7,X=57,K=21,S=7 || L2:[sp=Y,52] S=7,K=1,Y=1,X=1,R=7,C=1",-2681297.0,-27886.4,1,X|Y,1
K,929,S,7,X,148,Y,130,K,38,R,7,C,3,C,1,S,7,K,1,C,1,X,1,Y,1,R,7,"L1:[sp=K,929] S=7,X=148,Y=130,K=38,R=7,C=3 || L2:[sp=C,1] S=7,K=1,C=1,X=1,Y=1,R=7",-265469069.0,-14795.6,1,K|C,1
X,414,R,7,K,56,X,178,Y,162,S,7,C,2,Y,146,S,7,Y,1,R,7,C,1,K,1,X,1,"L1:[sp=X,414] R=7,K=56,X=178,Y=162,S=7,C=2 || L2:[sp=Y,146] S=7,Y=1,R=7,C=1,K=1,X=1",-5023881.0,-29178.4,1,X|Y,1
X,27,Y,211,S,7,X,218,C,1,R,7,K,46,C,1,X,1,R,7,K,1,S,7,Y,1,C,1,"L1:[sp=X,27] Y=211,S=7,X=218,C=1,R=7,K=46 || L2:[sp=C,1] X=1,R=7,K=1,S=7,Y=1,C=1",-447105805.0,-41095.1,1,X|C,1
