L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
K,81,C,1,S,1,Y,1,K,1,X,1,R,1,K,47,C,1,R,1,Y,1,X,1,S,1,K,1,"L1:[sp=K,81] C=1,S=1,Y=1,K=1,X=1,R=1 || L2:[sp=K,47] C=1,R=1,Y=1,X=1,S=1,K=1",-324538369.0,-163323000.0,1,K|K,1
K,165,Y,1,K,1,X,1,S,1,R,1,C,1,K,15,S,1,K,1,Y,1,C,1,X,1,R,1,"L1:[sp=K,165] Y=1,K=1,X=1,S=1,R=1,C=1 || L2:[sp=K,15] S=1,K=1,Y=1,C=1,X=1,R=1",-88510465.0,-163323000.0,1,K|K,1
Y,13,K,12,S,1,Y,152,X,43,C,1,R,1,K,8,C,1,K,1,R,1,Y,1,S,1,X,1,"L1:[sp=Y,13] K=12,S=1,Y=152,X=43,C=1,R=1 || L2:[sp=K,8] C=1,K=1,R=1,Y=1,S=1,X=1",-inf,-inf,0,Y|K,1
X,41,X,153,Y,100,S,5,C,3,R,6,K,25,K,7,S,1,K,1,X,1,C,1,R,1,Y,1,"L1:[sp=X,41] X=153,Y=100,S=5,C=3,R=6,K=25 || L2:[sp=K,7] S=1,K=1,X=1,C=1,R=1,Y=1",-inf,-inf,0,X|K,1
K,150,S,1,R,7,X,198,C,1,K,59,Y,131,Y,73,Y,1,R,1,C,1,K,1,S,1,X,1,"L1:[sp=K,150] S=1,R=7,X=198,C=1,K=59,Y=131 || L2:[sp=Y,73] Y=1,R=1,C=1,K=1,S=1,X=1",-inf,-inf,0,K|Y,1
C,15,R,2,S,5,Y,120,X,25,C,1,K,56,K,51,Y,1,C,1,X,1,R,1,K,1,S,1,"L1:[sp=C,15] R=2,S=5,Y=120,X=25,C=1,K=56 || L2:[sp=K,51] Y=1,C=1,X=1,R=1,K=1,S=1",-inf,-inf,0,C|K,1
Y,40,X,73,K,47,S,3,C,3,R,5,Y,162,K,26,S,1,K,1,R,1,C,1,X,1,Y,1,"L1:[sp=Y,40] X=73,K=47,S=3,C=3,R=5,Y=162 || L2:[sp=K,26] S=1,K=1,R=1,C=1,X=1,Y=1",-inf,-inf,0,Y|K,1
Y,123,R,6,K,24,Y,82,S,4,X,168,C,1,Y,75,C,1,S,1,Y,1,X,1,K,1,R,1,"L1:[sp=Y,123] R=6,K=24,Y=82,S=4,X=168,C=1 || L2:[sp=Y,75] C=1,S=1,Y=1,X=1,K=1,R=1",-inf,-inf,0,Y|Y,1
C,149,Y,60,C,2,K,28,S,1,X,58,R,6,C,2,K,1,S,1,C,1,R,1,X,1,Y,1,"L1:[sp=C,149] Y=60,C=2,K=28,S=1,X=58,R=6 || L2:[sp=C,2] K=1,S=1,C=1,R=1,X=1,Y=1",-inf,-inf,0,C|C,1
C,105,K,22,S,4,X,98,Y,44,R,4,C,1,K,18,X,1,Y,1,K,1,R,1,C,1,S,1,"L1:[sp=C,105] K=22,S=4,X=98,Y=44,R=4,C=1 || L2:[sp=K,18] X=1,Y=1,K=1,R=1,C=1,S=1",-inf,-inf,0,C|K,1
X,5,R,6,X,60,C,2,Y,119,K,27,S,1,C,2,Y,1,X,1,K,1,S,1,R,1,C,1,"L1:[sp=X,5] R=6,X=60,C=2,Y=119,K=27,S=1 || L2:[sp=C,2] Y=1,X=1,K=1,S=1,R=1,C=1",-inf,-inf,0,X|C,1
K,166,Y,207,S,5,C,2,X,214,K,55,R,2,K,52,X,1,R,1,C,1,Y,1,K,1,S,1,"L1:[sp=K,166] Y=207,S=5,C=2,X=214,K=55,R=2 || L2:[sp=K,52] X=1,R=1,C=1,Y=1,K=1,S=1",-inf,-inf,0,K|K,1
K,152,S,7,Y,6,K,8,C,2,X,30,R,6,C,1,S,1,C,1,X,1,K,1,R,1,Y,1,"L1:[sp=K,152] S=7,Y=6,K=8,C=2,X=30,R=6 || L2:[sp=C,1] S=1,C=1,X=1,K=1,R=1,Y=1",-126378849.0,-163323000.0,1,K|C,1
X,69,Y,183,K,52,S,7,R,2,X,172,C,2,X,96,X,1,R,1,Y,1,C,1,S,1,K,1,"L1:[sp=X,69] Y=183,K=52,S=7,R=2,X=172,C=2 || L2:[sp=X,96] X=1,R=1,Y=1,C=1,S=1,K=1",-inf,-inf,0,X|X,1
C,47,C,1,K,50,R,2,S,4,X,43,Y,168,X,43,R,1,C,1,X,1,K,1,S,1,Y,1,"L1:[sp=C,47] C=1,K=50,R=2,S=4,X=43,Y=168 || L2:[sp=X,43] R=1,C=1,X=1,K=1,S=1,Y=1",-inf,-inf,0,C|X,1
