L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
C,78,X,204,C,1,S,1,Y,1,K,41,R,2,X,1,Y,1,X,52,C,1,S,1,R,1,K,2,"L1:[sp=C,78] X=204,C=1,S=1,Y=1,K=41,R=2 || L2:[sp=X,1] Y=1,X=52,C=1,S=1,R=1,K=2",-inf,-inf,0,C|X,1
X,78,S,3,X,204,C,2,K,41,Y,1,R,1,C,1,Y,1,X,52,C,2,K,2,R,1,S,1,"L1:[sp=X,78] S=3,X=204,C=2,K=41,Y=1,R=1 || L2:[sp=C,1] Y=1,X=52,C=2,K=2,R=1,S=1",-inf,-inf,0,X|C,1
X,78,S,3,X,204,C,2,K,41,Y,1,R,1,C,1,Y,1,X,52,C,2,K,2,R,1,S,1,"L1:[sp=X,78] S=3,X=204,C=2,K=41,Y=1,R=1 || L2:[sp=C,1] Y=1,X=52,C=2,K=2,R=1,S=1",-106318465.0,-163324000.0,1,X|C,1
C,78,X,204,C,1,S,1,K,41,Y,102,R,1,K,1,Y,1,X,52,C,1,S,1,R,1,K,2,"L1:[sp=C,78] X=204,C=1,S=1,K=41,Y=102,R=1 || L2:[sp=K,1] Y=1,X=52,C=1,S=1,R=1,K=2",-inf,-inf,0,C|K,1
X,78,X,204,S,3,C,2,Y,1,K,41,R,1,C,1,Y,1,X,52,C,1,S,2,R,1,K,2,"L1:[sp=X,78] X=204,S=3,C=2,Y=1,K=41,R=1 || L2:[sp=C,1] Y=1,X=52,C=1,S=2,R=1,K=2",-inf,-inf,0,X|C,1
X,78,R,3,Y,33,K,1,S,3,C,3,X,80,C,1,Y,1,X,52,C,1,S,2,R,2,K,1,"L1:[sp=X,78] R=3,Y=33,K=1,S=3,C=3,X=80 || L2:[sp=C,1] Y=1,X=52,C=1,S=2,R=2,K=1",-32448833.0,-163324000.0,1,X|C,1
C,78,X,204,C,1,S,3,K,41,Y,1,R,1,K,1,Y,1,X,52,C,1,S,1,R,1,K,2,"L1:[sp=C,78] X=204,C=1,S=3,K=41,Y=1,R=1 || L2:[sp=K,1] Y=1,X=52,C=1,S=1,R=1,K=2",-inf,-inf,0,C|K,1
X,78,S,1,X,204,C,2,K,41,Y,1,R,1,C,1,Y,1,X,52,C,2,K,2,R,1,S,1,"L1:[sp=X,78] S=1,X=204,C=2,K=41,Y=1,R=1 || L2:[sp=C,1] Y=1,X=52,C=2,K=2,R=1,S=1",-inf,-inf,0,X|C,1
X,78,S,3,X,150,Y,1,K,6,C,1,R,1,C,1,Y,1,X,52,C,1,K,2,R,1,S,2,"L1:[sp=X,78] S=3,X=150,Y=1,K=6,C=1,R=1 || L2:[sp=C,1] Y=1,X=52,C=1,K=2,R=1,S=2",-58857121.0,-163323000.0,1,X|C,1
K,78,X,183,K,41,C,2,S,3,Y,1,R,2,Y,1,Y,1,X,52,C,2,S,1,K,2,R,1,"L1:[sp=K,78] X=183,K=41,C=2,S=3,Y=1,R=2 || L2:[sp=Y,1] Y=1,X=52,C=2,S=1,K=2,R=1",-140877129.0,-163324000.0,1,K|Y,1
