L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
X,44,C,3,Y,222,X,1,K,33,S,1,R,6,K,3,R,6,K,1,X,1,Y,36,S,1,C,1,"L1:[sp=X,44] C=3,Y=222,X=1,K=33,S=1,R=6 || L2:[sp=K,3] R=6,K=1,X=1,Y=36,S=1,C=1",-66641.0,-163323000.0,1,X|K,1
X,44,C,1,Y,222,X,1,K,33,S,1,R,6,K,3,R,6,K,1,X,1,Y,36,C,1,S,1,"L1:[sp=X,44] C=1,Y=222,X=1,K=33,S=1,R=6 || L2:[sp=K,3] R=6,K=1,X=1,Y=36,C=1,S=1",-66865.0,-163323000.0,1,X|K,1
X,44,C,3,Y,222,X,1,K,3,S,1,R,6,K,3,R,6,K,1,X,1,Y,36,S,1,C,1,"L1:[sp=X,44] C=3,Y=222,X=1,K=3,S=1,R=6 || L2:[sp=K,3] R=6,K=1,X=1,Y=36,S=1,C=1",-67761.0,-163323000.0,1,X|K,1
X,44,C,3,Y,222,X,1,K,3,S,1,R,6,K,3,R,6,K,1,X,1,Y,3,S,1,C,1,"L1:[sp=X,44] C=3,Y=222,X=1,K=3,S=1,R=6 || L2:[sp=K,3] R=6,K=1,X=1,Y=3,S=1,C=1",-67761.0,-163323000.0,1,X|K,1
X,44,C,2,Y,222,X,1,K,33,S,1,R,6,K,3,R,6,K,1,X,1,Y,36,S,1,C,2,"L1:[sp=X,44] C=2,Y=222,X=1,K=33,S=1,R=6 || L2:[sp=K,3] R=6,K=1,X=1,Y=36,S=1,C=2",-88929.0,-163323000.0,1,X|K,1
X,44,S,1,K,45,C,3,Y,222,X,1,R,6,C,1,Y,36,K,1,X,1,C,1,S,1,R,6,"L1:[sp=X,44] S=1,K=45,C=3,Y=222,X=1,R=6 || L2:[sp=C,1] Y=36,K=1,X=1,C=1,S=1,R=6",-96825.0,-163323000.0,1,X|C,1
X,44,X,1,K,29,C,3,S,1,Y,222,R,6,X,1,X,1,K,2,Y,36,R,6,S,1,C,1,"L1:[sp=X,44] X=1,K=29,C=3,S=1,Y=222,R=6 || L2:[sp=X,1] X=1,K=2,Y=36,R=6,S=1,C=1",-96853.0,-163323000.0,1,X|X,1
X,44,S,1,R,6,C,2,Y,222,X,1,K,35,C,1,Y,36,K,1,X,1,C,1,S,1,R,6,"L1:[sp=X,44] S=1,R=6,C=2,Y=222,X=1,K=35 || L2:[sp=C,1] Y=36,K=1,X=1,C=1,S=1,R=6",-96881.0,-163323000.0,1,X|C,1
X,44,S,1,R,6,C,2,Y,222,X,1,K,35,C,1,Y,36,C,1,X,1,R,6,K,1,S,1,"L1:[sp=X,44] S=1,R=6,C=2,Y=222,X=1,K=35 || L2:[sp=C,1] Y=36,C=1,X=1,R=6,K=1,S=1",-96881.0,-163323000.0,1,X|C,1
X,44,S,1,R,6,C,2,Y,222,X,1,K,45,C,1,Y,36,K,1,X,1,C,1,S,1,R,6,"L1:[sp=X,44] S=1,R=6,C=2,Y=222,X=1,K=45 || L2:[sp=C,1] Y=36,K=1,X=1,C=1,S=1,R=6",-96881.0,-163323000.0,1,X|C,1
